0.02:  193.7557,174.0436,94.20018,
ParticipantNo: 214
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_21
7.02:  83.89915,113.8765,308.3999,box 5,7
7.03:  83.72027,114.0153,307.7999,box 5,7
7.05:  83.53037,114.161,307.4999,box 5,7
7.07:  83.32698,114.3154,307.1999,box 5,7
7.08:  83.11035,114.4762,306.5999,box 5,7
7.1:  82.8783,114.6461,306.1999,box 5,7
7.12:  82.63673,114.8216,305.9999,box 5,7
7.13:  82.39258,114.9983,305.8999,box 5,7
7.15:  82.15216,115.1723,305.8999,box 5,7
7.17:  81.90726,115.3496,305.8999,box 5,7
7.18:  81.6692,115.5219,305.8999,box 5,7
7.2:  81.42471,115.6989,305.8999,box 5,7
7.22:  81.17601,115.8796,305.9999,box 5,7
7.23:  80.93794,116.0551,306.3999,box 5,7
7.25:  80.69948,116.2375,307.3999,box 5,7
7.27:  80.46717,116.4236,308.6999,box 5,7
7.28:  80.24139,116.6212,311.1999,box 5,7
7.3:  80.02642,116.8347,314.7999,box 5,7
7.32:  79.82902,117.061,318.8999,box 5,7
7.33:  79.65809,117.3125,325.7999,box 5,7
7.35:  79.51122,117.571,330.3999,box 5,7
7.37:  79.38,117.8425,334.1999,box 5,7
7.38:  79.26336,118.1146,336.7999,box 5,7
7.4:  79.15464,118.3949,338.7999,box 5,7
7.42:  79.05303,118.6803,340.3999,box 5,7
7.43:  78.95883,118.9602,341.3999,box 5,7
7.45:  78.86572,119.2502,342.1999,box 5,7
7.47:  78.77837,119.5341,342.8999,box 5,7
7.48:  78.69247,119.8241,343.4999,box 5,7
7.5:  78.61076,120.1129,344.1999,box 5,7
7.52:  78.5332,120.3983,344.7999,box 5,7
7.53:  78.45635,120.6934,345.3999,box 5,7
7.55:  78.38466,120.9788,345.8999,box 4,7
7.57:  78.31496,121.2691,346.4999,box 4,7
7.58:  78.24565,121.56,346.5999,box 4,7
7.6:  78.17754,121.8481,346.6999,box 4,7
7.62:  78.1072,122.1457,346.6999,box 4,7
7.63:  78.03862,122.4381,346.7999,box 4,7
7.65:  77.97083,122.7271,346.7999,box 4,7
7.67:  77.90302,123.0162,346.7999,box 4,7
7.68:  77.83421,123.3096,346.7999,box 4,7
7.7:  77.76514,123.6041,346.7999,box 4,7
7.72:  77.69724,123.8935,346.7999,box 4,7
7.73:  77.62875,124.1856,346.7999,box 4,7
7.75:  77.56086,124.475,346.7999,box 4,7
7.77:  77.49212,124.7681,346.7999,box 4,7
7.78:  77.42349,125.0607,346.7999,box 4,7
7.8:  77.35537,125.3511,346.7999,box 4,7
7.82:  77.28648,125.6448,346.7999,box 4,7
7.83:  77.21612,125.9448,346.7999,box 4,7
7.85:  77.14659,126.2412,346.7999,box 4,7
7.87:  77.07852,126.5315,346.7999,box 4,7
7.88:  77.01065,126.8208,346.7999,box 4,7
7.9:  76.94234,127.1121,346.7999,box 4,7
7.92:  76.87366,127.4049,346.7999,box 4,7
7.93:  76.80608,127.693,346.7999,box 4,7
7.95:  76.73674,127.9887,346.7999,box 4,7
7.97:  76.66948,128.2754,346.7999,box 4,7
7.98:  76.59956,128.5735,346.7999,box 4,7
8:  76.53177,128.8626,346.7999,box 4,7
8.02:  76.46078,129.1628,346.6999,box 4,7
8.03:  76.39286,129.4457,346.4999,box 4,7
8.05:  76.32214,129.7403,346.4999,box 4,7
8.07:  76.25226,130.027,346.2999,box 4,7
8.08:  76.17934,130.3261,346.2999,box 4,7
8.1:  76.10919,130.6117,346.1999,box 4,7
8.11:  76.04494,130.8733,346.1999,box 4,7
8.13:  75.97339,131.1646,346.1999,box 4,7
8.15:  75.9029,131.4516,346.1999,box 4,7
8.16:  75.83086,131.7449,346.1999,box 4,7
8.18:  75.75765,132.0429,346.1999,box 4,7
8.2:  75.68513,132.3382,346.1999,box 4,7
8.22:  75.61051,132.6419,346.1999,box 4,7
8.23:  75.53959,132.9307,346.1999,box 4,7
8.25:  75.46761,133.2237,346.1999,box 4,7
8.27:  75.39378,133.5243,346.1999,box 4,7
8.28:  75.3215,133.8186,346.1999,box 4,7
8.3:  75.25123,134.1047,346.1999,box 4,7
8.32:  75.17813,134.4023,346.1999,box 4,7
8.33:  75.1084,134.6862,346.1999,box 4,7
8.35:  75.03571,134.9821,346.1999,box 4,7
8.37:  74.96402,135.274,346.1999,box 4,7
8.38:  74.89243,135.5699,346.3999,box 4,7
8.4:  74.82357,135.8589,346.5999,box 4,7
8.42:  74.75471,136.1548,346.8999,box 4,7
8.43:  74.69273,136.4391,347.6999,box 4,7
