0.02:  193.6079,171.7357,91.9,
ParticipantNo: 216a
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_23
6.7:  185.282,172.263,86.70004,box 2,1
6.71:  185.5704,172.2796,86.70004,box 2,1
6.73:  185.8795,172.2969,86.80003,box 2,1
6.75:  186.1795,172.3127,87.00003,box 2,1
6.76:  186.4808,172.3274,87.20004,box 2,1
6.78:  186.7756,172.3408,87.40003,box 2,1
6.8:  187.0756,172.3544,87.40003,box 2,1
6.81:  187.3793,172.3677,87.50003,box 2,1
6.83:  187.679,172.3797,87.70004,box 2,1
6.85:  187.9784,172.3912,87.80003,box 2,1
6.86:  188.2744,172.4021,87.90002,box 2,1
6.88:  188.575,172.4126,88.00003,box 2,1
6.9:  188.8848,172.4228,88.10003,box 2,1
6.91:  189.1743,172.4319,88.20004,box 2,1
6.93:  189.4765,172.4409,88.30003,box 2,1
6.95:  189.7823,172.4478,88.70004,box 2,1
6.96:  190.0779,172.4535,88.90003,box 2,1
6.98:  190.3723,172.4576,89.20004,box 2,1
7:  190.679,172.4608,89.40004,box 2,1
7.01:  190.974,172.4624,89.70004,box 2,1
7.03:  191.2811,172.4629,89.90003,box 2,1
7.05:  191.574,172.4624,90.10003,box 2,1
7.06:  191.879,172.4619,90.10003,box 2,1
7.08:  192.1741,172.4613,90.10003,box 2,1
7.1:  192.4714,172.4608,90.10003,box 2,1
7.11:  192.7678,172.4603,90.10003,box 2,1
7.13:  193.0685,172.4598,90.10003,box 2,1
7.15:  193.3671,172.4593,90.10003,box 2,1
7.16:  193.6715,172.4582,90.20004,box 2,1
7.18:  193.9638,172.4572,90.20004,box 2,1
7.2:  194.2721,172.4561,90.20004,box 2,1
7.21:  194.5692,172.4551,90.20004,box 2,1
7.23:  194.8732,172.4529,90.40003,box 2,1
7.25:  195.1685,172.4499,90.60003,box 2,1
7.26:  195.4716,172.4451,90.90003,box 2,1
7.28:  195.7731,172.4388,91.20003,box 2,1
7.3:  196.0743,172.4309,91.50002,box 2,1
7.31:  196.3719,172.4215,91.80003,box 2,1
7.33:  196.6935,172.4092,92.20003,box 2,1
7.35:  196.9474,172.3994,92.20003,box 2,1
7.36:  197.254,172.3871,92.30003,box 2,1
7.38:  197.5497,172.3752,92.30003,box 2,1
7.4:  197.8714,172.3623,92.30003,box 2,1
7.41:  198.1651,172.3505,92.30003,box 2,1
7.43:  198.4687,172.3383,92.30003,box 2,1
7.45:  198.7668,172.3264,92.30003,box 2,1
7.46:  199.0663,172.3143,92.30003,box 2,1
7.48:  199.3676,172.3022,92.30003,box 2,1
7.5:  199.6677,172.2902,92.30003,box 2,1
7.51:  199.9604,172.2784,92.30003,box 2,1
7.53:  200.2429,172.2646,92.80003,box 2,1
7.55:  200.5508,172.2414,94.30003,box 2,1
7.56:  200.8566,172.1963,98.40002,box 2,1
7.58:  201.156,172.1321,102.1,box 2,1
7.6:  201.4401,172.0463,106.8,box 2,1
7.61:  201.7155,171.9328,112.4,box 2,1
7.63:  201.9795,171.7907,118.3,box 2,1
7.65:  202.2267,171.6208,124.5,box 2,1
7.66:  202.4558,171.4223,130.9,box 2,0
7.68:  202.6576,171.2036,137.3,box 2,0
7.7:  202.8395,170.9674,142.4,box 2,0
7.71:  203.0149,170.7054,146.2,box 2,0
7.73:  203.1691,170.4547,148.4,box 2,0
7.75:  203.3306,170.1783,149.7,box 2,0
7.76:  203.4707,169.9376,149.8,box 2,0
7.78:  203.6218,169.677,149.9,box 2,0
7.8:  203.7723,169.4153,150.1,box 2,0
7.81:  203.9226,169.1529,150.2,box 2,0
7.83:  204.0666,168.8972,150.6,box 2,0
7.85:  204.2103,168.6338,151.4,box 2,0
7.86:  204.3458,168.3746,152.4,box 2,0
7.88:  204.4837,168.0979,153.5,box 2,0
7.9:  204.607,167.8348,154.9,box 2,0
7.91:  204.7298,167.555,156.3,box 2,0
7.93:  204.8427,167.2798,157.7,box 2,0
7.95:  204.9526,166.998,158.7,box 2,0
7.96:  205.058,166.7173,159.4,box 2,0
7.98:  205.1652,166.4261,159.8,box 2,0
8:  205.2633,166.1566,160,box 2,0
8.01:  205.3651,165.8706,160.4,box 2,0
8.03:  205.4622,165.5887,161,box 2,0
8.05:  205.558,165.3008,161.6,box 2,0
8.06:  205.651,165.0109,162.2,box 2,0
8.08:  205.7452,164.7085,162.7,box 2,0
8.1:  205.8326,164.4229,163,box 2,0
8.11:  205.9106,164.1644,163.2,box 2,0
8.13:  205.9951,163.8792,163.5,box 2,0
8.15:  206.0773,163.5923,164,box 2,0
8.16:  206.1528,163.2962,165.7,box 3,0
8.18:  206.2207,162.9996,167.1,box 3,0
8.2:  206.2818,162.702,168.4,box 3,0
8.21:  206.3376,162.4009,169.5,box 3,0
8.23:  206.3885,162.103,170.3,box 3,0
8.25:  206.4371,161.8033,170.8,box 3,0
8.26:  206.4836,161.5095,171,box 3,0
8.28:  206.5306,161.2098,171.1,box 3,0
8.3:  206.5741,160.9317,171.1,box 3,0
8.31:  206.6192,160.6403,171.2,box 3,0
8.33:  206.6656,160.3403,171.2,box 3,0
8.35:  206.7116,160.0399,171.3,box 3,0
8.36:  206.7583,159.7352,171.3,box 3,0
8.38:  206.806,159.4233,171.3,box 3,0
8.4:  206.8502,159.1341,171.3,box 3,0
8.42:  206.8966,158.8314,171.3,box 3,0
8.43:  206.9423,158.5391,171.1,box 3,0
8.45:  206.9902,158.2403,170.9,box 3,0
8.47:  207.0369,157.9483,170.9,box 3,0
8.48:  207.0856,157.6477,170.8,box 3,0
8.5:  207.1326,157.3575,170.8,box 3,0
8.52:  207.1813,157.0573,170.8,box 3,0
8.53:  207.2248,156.7887,170.8,box 3,0
8.55:  207.2737,156.4865,170.8,box 3,0
8.56:  207.3212,156.1935,170.8,box 3,0
8.58:  207.3696,155.8943,170.8,box 3,0
8.6:  207.4169,155.6026,170.8,box 3,0
8.61:  207.4656,155.3019,170.8,box 3,0
8.63:  207.5131,155.0086,170.8,box 3,0
8.65:  207.5613,154.7106,170.8,box 3,0
8.66:  207.6093,154.4146,170.8,box 3,0
8.68:  207.6573,154.1182,170.8,box 3,0
8.7:  207.705,153.8239,170.8,box 3,0
8.71:  207.7527,153.5293,170.8,box 3,0
8.73:  207.801,153.2306,170.8,box 3,0
8.75:  207.8508,152.9235,170.8,box 3,0
8.76:  207.8998,152.6208,170.8,box 3,0
8.78:  207.9504,152.3082,170.8,box 3,0
8.8:  207.9982,152.0135,170.8,box 3,0
8.82:  208.0464,151.7156,170.8,box 3,0
8.83:  208.0943,151.42,170.8,box 3,0
8.85:  208.1423,151.1239,170.8,box 3,0
8.87:  208.1894,150.8328,170.8,box 3,0
8.88:  208.2397,150.5292,170.6,box 3,0
8.9:  208.2876,150.2399,170.6,box 3,0
8.92:  208.3379,149.9357,170.6,box 3,0
8.93:  208.386,149.6455,170.6,box 3,0
8.95:  208.4356,149.3458,170.6,box 3,0
8.97:  208.4838,149.0546,170.6,box 3,0
8.98:  208.5336,148.7534,170.6,box 3,0
9:  208.5819,148.4622,170.6,box 3,0
9.02:  208.6317,148.1611,170.6,box 3,0
9.03:  208.6798,147.8708,170.6,box 3,0
9.05:  208.7292,147.5723,170.6,box 3,0
9.07:  208.7778,147.2789,170.6,box 3,0
9.08:  208.8288,146.9774,170.4,box 3,0
9.1:  208.8781,146.6855,170.4,box 3,0
9.12:  208.9285,146.3879,170.4,box 3,0
9.13:  208.9781,146.0945,170.4,box 3,0
9.15:  209.0259,145.8119,170.4,box 3,0
9.16:  209.0748,145.5229,170.4,box 3,0
9.18:  209.1247,145.2275,170.4,box 3,0
9.2:  209.1739,144.9366,170.4,box 3,0
9.21:  209.225,144.6346,170.4,box 3,0
9.23:  209.2752,144.3378,170.4,box 3,0
9.25:  209.3275,144.0286,170.4,box 3,0
9.27:  209.3771,143.7356,170.4,box 3,0
9.28:  209.4272,143.4391,170.4,box 4,0
9.3:  209.4771,143.1441,170.4,box 4,0
9.32:  209.5276,142.8457,170.4,box 4,0
9.33:  209.5776,142.5501,170.4,box 4,0
