0.02:  36.33662,31.57453,187.8998,
ParticipantNo: 230b
ParticipantGen: 1
Date: 11/6/2017
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_10
5.63:  108.1884,101.3534,45.39996,box 5,5
5.65:  108.3869,101.5655,43.09996,box 5,5
5.67:  108.5849,101.79,41.39996,box 5,5
5.68:  108.7741,102.0156,39.99996,box 5,5
5.7:  108.9617,102.2592,37.59996,box 5,5
5.72:  109.1331,102.5012,35.29995,box 5,5
5.73:  109.3075,102.7739,32.59996,box 5,5
5.75:  109.4572,103.0342,29.89996,box 5,5
5.77:  109.5944,103.2966,27.59996,box 5,5
5.78:  109.7258,103.5649,26.09996,box 5,5
5.8:  109.8601,103.8478,25.39996,box 5,5
5.82:  109.9831,104.1116,24.99996,box 5,5
5.83:  110.1097,104.3843,24.89996,box 5,5
5.85:  110.2346,104.6558,24.69996,box 5,5
5.87:  110.3577,104.9337,23.89996,box 5,5
5.88:  110.4766,105.207,23.49996,box 5,5
5.9:  110.5948,105.4828,23.19996,box 5,5
5.92:  110.7103,105.7575,22.79996,box 5,5
5.93:  110.8266,106.037,22.59996,box 5,5
5.95:  110.941,106.3132,22.49996,box 5,5
5.97:  111.0552,106.5889,22.49996,box 5,5
5.98:  111.1672,106.8593,22.49996,box 5,5
6:  111.2829,107.1385,22.49996,box 5,5
6.02:  111.3989,107.4228,22.19996,box 5,5
6.03:  111.5107,107.6997,21.99996,box 5,5
6.05:  111.6227,107.9795,21.79996,box 5,5
6.07:  111.7313,108.251,21.79996,box 5,5
6.08:  111.8422,108.5284,21.79996,box 5,5
6.1:  111.9465,108.7893,21.79996,box 5,5
6.12:  112.0664,109.0888,21.79996,box 5,5
6.13:  112.1762,109.3634,21.79996,box 5,5
6.15:  112.2931,109.6557,21.79996,box 5,5
6.17:  112.3903,109.8986,21.79996,box 5,5
6.18:  112.5028,110.1799,21.79996,box 5,5
6.2:  112.6137,110.4573,21.79996,box 5,5
6.22:  112.7255,110.7368,21.79996,box 5,5
6.23:  112.8428,111.03,21.79996,box 5,5
6.25:  112.9582,111.3216,21.59996,box 5,5
6.27:  113.0658,111.5932,21.59996,box 5,5
6.28:  113.176,111.8745,21.39996,box 5,5
6.3:  113.2862,112.1557,21.39996,box 5,5
6.32:  113.3961,112.4361,21.39996,box 5,5
6.33:  113.5038,112.711,21.39996,box 5,5
6.35:  113.617,112.9997,21.39996,box 5,5
6.37:  113.7241,113.2745,21.29996,box 5,5
6.38:  113.832,113.5512,21.29996,box 5,5
6.4:  113.9397,113.8276,21.29996,box 5,5
6.42:  114.0494,114.1088,21.29996,box 5,5
6.43:  114.1583,114.3883,21.29996,box 5,5
6.45:  114.2659,114.6642,21.29996,box 5,5
6.47:  114.3768,114.9487,21.29996,box 5,5
6.48:  114.4864,115.2297,21.29996,box 5,5
6.5:  114.5946,115.5073,21.29996,box 5,5
6.52:  114.7032,115.7857,21.29996,box 5,5
6.53:  114.8111,116.0625,21.29996,box 5,5
6.55:  114.9244,116.3532,21.29996,box 5,5
6.57:  115.031,116.6265,21.29996,box 5,5
6.58:  115.1407,116.9078,21.29996,box 5,5
6.6:  115.2498,117.1877,21.29996,box 5,5
6.62:  115.356,117.4602,21.29996,box 5,5
6.63:  115.4647,117.739,21.29996,box 5,5
6.65:  115.5701,118.0091,21.29996,box 5,5
6.67:  115.6771,118.2837,21.29996,box 5,5
6.68:  115.7882,118.5686,21.29996,box 5,5
6.7:  115.8868,118.8517,19.19996,box 5,5
6.72:  115.9751,119.1462,16.69996,box 5,5
6.73:  116.0472,119.4464,13.49996,box 5,5
6.75:  116.1036,119.7449,10.69996,box 5,5
6.77:  116.1461,120.0434,8.099957,box 5,5
6.78:  116.1763,120.3363,5.899958,box 5,5
6.8:  116.1934,120.6315,3.299957,box 5,5
6.82:  116.1955,120.935,0.3999568,box 5,5
6.83:  116.1838,121.2252,357.7,box 5,6
6.85:  116.1592,121.5312,355.4,box 5,6
6.87:  116.1253,121.8291,353.5,box 5,6
6.88:  116.0757,122.1382,350.9,box 5,6
6.9:  116.0215,122.4252,349.3,box 5,6
6.92:  115.9561,122.7153,347.3,box 5,6
6.93:  115.8843,122.9971,345.7,box 5,6
6.95:  115.806,123.2916,345.0999,box 5,6
6.97:  115.7311,123.5728,345.0999,box 5,6
6.98:  115.6518,123.8711,345.0999,box 5,6
7:  115.5759,124.1563,345.0999,box 5,6
7.02:  115.4966,124.4542,345.0999,box 5,6
7.03:  115.4216,124.7359,345.0999,box 5,6
7.05:  115.3426,125.0331,345.0999,box 5,6
7.07:  115.2695,125.3077,345.0999,box 5,6
7.08:  115.1912,125.602,345.0999,box 5,6
7.1:  115.1163,125.8834,345.0999,box 5,6
7.12:  115.0368,126.1824,345.0999,box 5,6
7.13:  114.9613,126.4662,345.0999,box 5,6
7.15:  114.8803,126.7705,345.0999,box 5,6
7.17:  114.8054,127.0519,345.0999,box 5,6
7.18:  114.726,127.3502,345.0999,box 5,6
7.2:  114.6507,127.6334,345.0999,box 5,6
7.22:  114.5737,127.9228,345.0999,box 5,6
7.23:  114.4969,128.2113,345.0999,box 5,6
7.25:  114.4166,128.513,345.0999,box 5,6
7.27:  114.3417,128.7947,345.0999,box 5,6
7.28:  114.2626,129.092,345.0999,box 5,6
7.3:  114.1854,129.3821,345.0999,box 5,6
7.32:  114.1088,129.67,345.0999,box 5,6
7.33:  114.033,129.9549,345.0999,box 5,6
7.35:  113.9562,130.2456,345.2,box 5,6
7.37:  113.8807,130.5397,345.5999,box 5,6
7.38:  113.806,130.8306,345.5999,box 5,6
7.4:  113.7363,131.1232,346.5999,box 5,6
7.42:  113.6706,131.4193,347.5,box 5,6
7.43:  113.6092,131.7108,348.0999,box 5,6
7.45:  113.5534,132.0059,349.3,box 5,6
